"","Sample_set","Site","Simplified_zone_name","MinEle_NAV","MaxEle_NAV","MinEle_MTL","MaxEle_MTL","MNEle_NAV","stEle_NAV","MNEle_MTL","stEle_MTL","Site3","Simplified_zone_name3","MinEle_NAV3","MaxEle_NAV3","MinEle_MTL3","MaxEle_MTL3","MNEle_NAV3","stEle_NAV3","MNEle_MTL3","stEle_MTL3","MN_change_NAV","MN_change_MTL"
"1","1","Cockroach Bay","Coastal upland",0.655,0.795,0.75,0.89,0.7185,0.0526830143404874,0.8135,0.0526830143404874,"Cockroach Bay","Coastal upland",0.72590018,0.89658287,0.82090018,0.99158287,0.77255894375,0.0544311591726784,0.86755894375,0.0544311591726784,0.05405894375,0.05405894375
"2","1","Cockroach Bay","Mangrove",0.081,0.221,0.176,0.316,0.177071428571429,0.047109470362149,0.272071428571429,0.047109470362149,"Cockroach Bay","Mangrove",0.16928683,0.42622732,0.26428683,0.52122732,0.282513677027027,0.0477028777282979,0.377513677027027,0.0477028777282979,0.105442248455598,0.105442248455598
"3","1","Cockroach Bay","Salt barren",0.179,0.418,0.274,0.513,0.224631578947368,0.060446680385201,0.319631578947368,0.060446680385201,"Cockroach Bay","Salt barren",0.44557492,0.64401391,0.54057492,0.73901391,0.5532169925,0.0819502874155157,0.6482169925,0.0819502874155157,0.328585413552632,0.328585413552632
"4","1","Cockroach Bay","Salt marsh",0.453,0.713,0.548,0.808,0.631314285714286,0.0626018095155551,0.726314285714286,0.0626018095155551,"Cockroach Bay","Salt marsh",0.61450867,0.78016914,0.70950867,0.87516914,0.708177053333333,0.0489249204760559,0.803177053333333,0.0489249204760559,0.0768627676190476,0.0768627676190476
"5","1","Cockroach Bay","Upland transition",0.554,0.706,0.649,0.801,0.604833333333333,0.0548431095641619,0.699833333333333,0.0548431095641619,"Cockroach Bay","Upland transition",0.58674093,0.62131118,0.68174093,0.71631118,0.605635368333333,0.0131876317322883,0.700635368333333,0.0131876317322883,0.000802034999999979,0.000802034999999979
"6","1","Fort De Soto","Coastal upland",0.674,1.23,0.805,1.361,0.8796,0.169263240086099,1.0106,0.169263240086099,"Fort De Soto","Coastal upland",0.71815226,1.17140264,0.84915226,1.30240264,0.947110361,0.151222728162613,1.078110361,0.151222728162613,0.067510361,0.0675103610000001
"7","1","Fort De Soto","Mangrove",-0.159,0.476,-0.028,0.607,0.06085,0.156195988559583,0.19185,0.156195988559583,"Fort De Soto","Mangrove",0.02918791,0.56577885,0.16018791,0.69677885,0.200665541052632,0.150773347349802,0.331665541052632,0.150773347349802,0.139815541052632,0.139815541052632
"8","1","Fort De Soto","Salt marsh",0.312,0.474,0.443,0.605,0.3755,0.0288350481185657,0.5065,0.0288350481185657,"Fort De Soto","Salt marsh",0.40155794,0.51407519,0.53255794,0.64507519,0.453334776538462,0.0278361289717192,0.584334776538462,0.0278361289717192,0.0778347765384615,0.0778347765384616
"9","1","Fort De Soto","Salt-tolerant trees",0.295,0.467,0.426,0.598,0.385875,0.0517157293931611,0.516875,0.0517157293931611,"Fort De Soto","Salt-tolerant trees",0.35258528,0.54259378,0.48358528,0.67359378,0.4571329425,0.056091730443359,0.5881329425,0.056091730443359,0.0712579425000001,0.0712579425000001
"10","1","Fort De Soto","Upland transition",0.435,0.647,0.566,0.778,0.525333333333333,0.0746106560753891,0.656333333333333,0.0746106560753891,"Fort De Soto","Upland transition",0.50841487,0.68735305,0.63941487,0.81835305,0.581199852222222,0.0623414536121277,0.712199852222222,0.0623414536121277,0.0558665188888889,0.0558665188888889
